# Complex refractive index of paint proxy (PMMA, as a proxy for an automotive clearcoat), n(lambda) + i k(lambda), 0.6-19.6 um.
#
# source: X. Zhang, J. Qiu, X. Li, J. Zhao, L. Liu (2020), 'Complex refractive indices measurements of polymers in visible and near-infrared bands', Appl. Opt. 59, 2337-2344. doi:10.1364/AO.383831. Mitsubishi PMMA sample.
#   Retrieved 2026-09-15 from
#   https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/main/database/data/organic/(C5H8O2)n%20-%20poly(methyl%20methacrylate)/nk/Zhang-Mitsubishi.yml
#   (RefractiveIndex.INFO database, public domain / CC0 1.0), converted by
#   scripts/fetch_nk_tables.py and truncated to 0.6-19.6 um; values otherwise unmodified.
#   PROXY: PMMA, not paint. A paint film is a pigmented basecoat under a polymer clearcoat, and the clearcoat is an acrylic -- so this is the binder, measured, without the pigment. It exists to give the *painted* material class a fitted Level B (a, p) instead of an estimated one (§4.2 asks for exactly that fit), and the emissivity magnitude still comes from each material's authored band value.
#
# Check values interpolated from this table: n(1.55 um) = 1.477070, k = 3.39e-06;
#   n(10.0 um) = 1.499792, k = 0.042477. Normal-incidence Fresnel emissivity at 10.0 um: 0.95975.
# Columns: wavelength in MICROMETRES, then n, then k.
wavelength_um,n,k
5.2479,1.4408,0.00433
5.2692,1.4395,0.00398
5.2907,1.43809,0.00401
5.3124,1.43626,0.00415
5.3343,1.43445,0.00411
5.3563,1.43266,0.00411
5.3785,1.4305,0.00403
5.4009,1.42834,0.00407
5.4235,1.42622,0.00454
5.4463,1.42379,0.00489
5.4693,1.4206,0.00483
5.4925,1.41665,0.00485
5.5159,1.41254,0.00535
5.5394,1.40778,0.00597
5.5632,1.40181,0.00651
5.5872,1.39375,0.007
5.6114,1.38371,0.00786
5.6358,1.36953,0.00877
5.6604,1.34661,0.0118
5.6852,1.30936,0.022
5.7103,1.25301,0.0834
5.7355,1.23647,0.221
5.761,1.34527,0.35
5.7867,1.53325,0.364
5.8127,1.65705,0.246
5.8389,1.65492,0.102
5.8653,1.60143,0.0397
5.8919,1.55983,0.0245
5.9188,1.53767,0.0192
5.946,1.52497,0.0156
5.9734,1.5137,0.0122
6.0011,1.50416,0.0107
6.029,1.49716,0.00996
6.0571,1.49099,0.00968
6.0856,1.48632,0.00972
6.1143,1.48305,0.00962
6.1433,1.47981,0.00942
6.1725,1.47641,0.00949
6.202,1.47325,0.00893
6.2319,1.47075,0.00823
6.262,1.46782,0.00803
6.2924,1.46437,0.00771
6.3231,1.46119,0.00752
6.3541,1.45837,0.00786
6.3854,1.45599,0.00853
6.417,1.45332,0.00857
6.4489,1.45022,0.00787
6.4811,1.44677,0.00741
6.5137,1.44267,0.00779
6.5466,1.43865,0.00846
6.5798,1.43289,0.00857
6.6134,1.42485,0.00958
6.6473,1.41211,0.0147
6.6816,1.4001,0.0308
6.7162,1.40407,0.0535
6.7512,1.41925,0.0644
6.7865,1.42839,0.0619
6.8223,1.4264,0.0627
6.8583,1.42716,0.0766
6.8948,1.44208,0.0916
6.9317,1.46484,0.0947
6.969,1.49232,0.0831
7.0066,1.50573,0.0546
7.0447,1.49279,0.0279
7.0832,1.47112,0.0196
7.1221,1.45677,0.0234
7.1615,1.45125,0.0321
7.2013,1.45536,0.0395
7.2415,1.46115,0.037
